Hobby,Class,Type,img
3D printing,General,Indoors,
Acrobatics,General,Indoors,
Acting,General,Indoors,
Amateur radio,General,Indoors,
Animation,General,Indoors,
Aquascaping,General,Indoors,
Astrology,General,Indoors,
Astronomy,General,Indoors,
Baking,General,Indoors,
Baton twirling,General,Indoors,
Blogging,General,Indoors,
Building,General,Indoors,
Board/tabletop games,General,Indoors,
Book discussion clubs,General,Indoors,
Book restoration,General,Indoors,
Bowling,General,Indoors,
Brazilian jiu-jitsu,General,Indoors,
Breadmaking,General,Indoors,
Bullet journaling,General,Indoors,
Cabaret,General,Indoors,
Calligraphy,General,Indoors,
Candle making,General,Indoors,
Candy making,General,Indoors,
Car fixing & building,General,Indoors,
Card games,General,Indoors,
Cheesemaking,General,Indoors,
Cleaning,General,Indoors,
Clothesmaking,General,Indoors,
Coffee roasting,General,Indoors,
Collecting,General,Indoors,
Coloring,General,Indoors,
Computer programming,General,Indoors,
Confectionery,General,Indoors,
Cooking,General,Indoors,
Cosplaying,General,Indoors,
Couponing,General,Indoors,
Craft,General,Indoors,
Creative writing,General,Indoors,
Crocheting,General,Indoors,
Cross-stitch,General,Indoors,
Crossword puzzles,General,Indoors,
Cryptography,General,Indoors,
Cue sports,General,Indoors,
Dance,General,Indoors,
Digital arts,General,Indoors,
Distro Hopping,General,Indoors,
DJing,General,Indoors,
Do it yourself,General,Indoors,
Drama,General,Indoors,
Drawing,General,Indoors,
Drink mixing,General,Indoors,
Electronic games,General,Indoors,
Electronics,General,Indoors,
Embroidery,General,Indoors,
Experimenting,General,Indoors,
Fantasy sports,General,Indoors,
Fashion,General,Indoors,
Fashion design,General,Indoors,
Fishkeeping,General,Indoors,
Filmmaking,General,Indoors,
Flower arranging,General,Indoors,
Fly tying,General,Indoors,
Foreign language learning,General,Indoors,
Furniture building,General,Indoors,
Gaming (tabletop games and role-playing games),General,Indoors,
Genealogy,General,Indoors,
Gingerbread house making,General,Indoors,
Glassblowing,General,Indoors,
Graphic design,General,Indoors,
Gunsmithing,General,Indoors,
Gymnastics,General,Indoors,
Hacking,General,Indoors,
Herp keeping,General,Indoors,
Home improvement,General,Indoors,
Homebrewing,General,Indoors,
Houseplant care,General,Indoors,
Hula hooping,General,Indoors,
Humor,General,Indoors,
Hydroponics,General,Indoors,
Ice skating,General,Indoors,
Jewelry making,General,Indoors,
Jigsaw puzzles,General,Indoors,
Journaling,General,Indoors,
Juggling,General,Indoors,
Karaoke,General,Indoors,
Karate,General,Indoors,
Kendama,General,Indoors,
Knife making,General,Indoors,
Knitting,General,Indoors,
Knot tying,General,Indoors,
Kombucha brewing,General,Indoors,
Lace making,General,Indoors,
Lapidary,General,Indoors,
Leather crafting,General,Indoors,
Lego building,General,Indoors,
Lock picking,General,Indoors,
Listening to music,General,Indoors,
Listening to podcasts,General,Indoors,
Machining,General,Indoors,
Macrame,General,Indoors,
Magic,General,Indoors,
Makeup,General,Indoors,
Mazes (indoor/outdoor),General,Indoors,
Metalworking,General,Indoors,
Model building,General,Indoors,
Model engineering,General,Indoors,
Nail art,General,Indoors,
Needlepoint,General,Indoors,
Origami,General,Indoors,
Painting,General,Indoors,
Palmistry,General,Indoors,
Pet adoption & fostering,General,Indoors,
Philately,General,Indoors,
Photography,General,Indoors,
Practical jokes,General,Indoors,
Pressed flower craft,General,Indoors,
Playing musical instruments,General,Indoors,
Poi,General,Indoors,
Pottery,General,Indoors,
Powerlifting,General,Indoors,
Puzzles,General,Indoors,
Quilling,General,Indoors,
Quilting,General,Indoors,
Quizzes,General,Indoors,
Radio-controlled model,General,Indoors,
Rail transport modeling,General,Indoors,
Rapping,General,Indoors,
Reading,General,Indoors,
Refinishing,General,Indoors,
Reiki,General,Indoors,
Robot combat,General,Indoors,
Rubik's Cube,General,Indoors,
Scrapbooking,General,Indoors,
Sculpting,General,Indoors,
Sewing,General,Indoors,
Shoemaking,General,Indoors,
Singing,General,Indoors,
Sketching,General,Indoors,
Skipping rope,General,Indoors,
Slot car,General,Indoors,
Soapmaking,General,Indoors,
Social media,General,Indoors,
Spreadsheets,General,Indoors,
Stand-up comedy,General,Indoors,
Stamp collecting,General,Indoors,
Table tennis,General,Indoors,
Tarot,General,Indoors,
Taxidermy,General,Indoors,
Thrifting,General,Indoors,
Video editing,General,Indoors,
Video game developing,General,Indoors,
Video gaming,General,Indoors,
Watching movies,General,Indoors,
Watching television,General,Indoors,
Videography,General,Indoors,
Virtual reality,General,Indoors,
Waxing,General,Indoors,
Weaving,General,Indoors,
Weight training,General,Indoors,
Welding,General,Indoors,
Whittling,General,Indoors,
Wikipedia editing,General,Indoors,
Winemaking,General,Indoors,
Wood carving,General,Indoors,
Woodworking,General,Indoors,
Worldbuilding,General,Indoors,
Writing,General,Indoors,
Word searches,General,Indoors,
Yo-yoing,General,Indoors,
Yoga,General,Indoors,
Zumba,General,Indoors,
Amusement park visiting,General,Outdoors,
Air sports,General,Outdoors,
Airsoft,General,Outdoors,
Amateur geology,General,Outdoors,
Archery,General,Outdoors,
Astronomy,General,Outdoors,
Backpacking,General,Outdoors,
Badminton,General,Outdoors,
BASE jumping,General,Outdoors,
Baseball,General,Outdoors,
Basketball,General,Outdoors,
Beekeeping,General,Outdoors,
Birdwatching,General,Outdoors,
Blacksmithing,General,Outdoors,
BMX,General,Outdoors,
Board sports,General,Outdoors,
Bodybuilding,General,Outdoors,
Bonsai,General,Outdoors,
Butterfly watching,General,Outdoors,
Bus riding,General,Outdoors,
Camping,General,Outdoors,
Canoeing,General,Outdoors,
Canyoning,General,Outdoors,
Car riding,General,Outdoors,
Caving,General,Outdoors,
Composting,General,Outdoors,
Cycling,General,Outdoors,
Dowsing,General,Outdoors,
Driving,General,Outdoors,
Farming,General,Outdoors,
Fishing,General,Outdoors,
Flag football,General,Outdoors,
Flower growing,General,Outdoors,
Flying,General,Outdoors,
Flying disc,General,Outdoors,
Foraging,General,Outdoors,
Fossicking,General,Outdoors,
Freestyle football,General,Outdoors,
Gardening,General,Outdoors,
Geocaching,General,Outdoors,
Ghost hunting,General,Outdoors,
Gold prospecting,General,Outdoors,
Graffiti,General,Outdoors,
Handball,General,Outdoors,
Herbalism,General,Outdoors,
Herping,General,Outdoors,
High-power rocketry,General,Outdoors,
Hiking,General,Outdoors,
Hobby horsing,General,Outdoors,
Hobby tunneling,General,Outdoors,
Hooping,General,Outdoors,
Horseback riding,General,Outdoors,
Hunting,General,Outdoors,
Inline skating,General,Outdoors,
Jogging,General,Outdoors,
Jumping rope,General,Outdoors,
Kayaking,General,Outdoors,
Kite flying,General,Outdoors,
Kitesurfing,General,Outdoors,
Lacrosse,General,Outdoors,
LARPing,General,Outdoors,
Letterboxing,General,Outdoors,
Longboarding,General,Outdoors,
Martial arts,General,Outdoors,
Metal detecting,General,Outdoors,
Meteorology,General,Outdoors,
Motor sports,General,Outdoors,
Mountain biking,General,Outdoors,
Mountaineering,General,Outdoors,
Museum visiting,General,Outdoors,
Mushroom hunting/mycology,General,Outdoors,
Netball,General,Outdoors,
Nordic skating,General,Outdoors,
Orienteering,General,Outdoors,
Paintball,General,Outdoors,
Parkour,General,Outdoors,
Photography,General,Outdoors,
Podcast hosting,General,Outdoors,
Polo,General,Outdoors,
Public transport riding,General,Outdoors,
Rafting,General,Outdoors,
Railway journeys,General,Outdoors,
Rappelling,General,Outdoors,
Road biking,General,Outdoors,
Rock climbing,General,Outdoors,
Roller skating,General,Outdoors,
Rugby,General,Outdoors,
Running,General,Outdoors,
Radio-controlled model,General,Outdoors,
Sailing,General,Outdoors,
Sand art,General,Outdoors,
Scouting,General,Outdoors,
Scuba diving,General,Outdoors,
Sculling or rowing,General,Outdoors,
Shooting,General,Outdoors,
Shopping,General,Outdoors,
Shuffleboard,General,Outdoors,
Skateboarding,General,Outdoors,
Skiing,General,Outdoors,
Skimboarding,General,Outdoors,
Skydiving,General,Outdoors,
Slacklining,General,Outdoors,
Snowboarding,General,Outdoors,
Snowmobiling,General,Outdoors,
Snowshoeing,General,Outdoors,
Soccer,General,Outdoors,
Stone skipping,General,Outdoors,
Sun bathing,General,Outdoors,
Surfing,General,Outdoors,
Survivalism,General,Outdoors,
Swimming,General,Outdoors,
Taekwondo,General,Outdoors,
Tai chi,General,Outdoors,
Tennis,General,Outdoors,
Topiary,General,Outdoors,
Tourism,General,Outdoors,
Thru-hiking,General,Outdoors,
Trade fair visiting,General,Outdoors,
Travel,General,Outdoors,
Urban exploration,General,Outdoors,
