639-1 ,639-2/T ,639-2/B ,Language name 
aa ,aar ,aar ,Afar 
ab ,abk ,abk ,Abkhaz
ae ,ave ,ave ,Avestan 
af ,afr ,afr ,Afrikaans 
ak ,aka ,aka ,Akan 
am ,amh ,amh ,Amharic 
an ,arg ,arg ,Aragonese 
ar ,ara ,ara ,Arabic 
as ,asm ,asm ,Assamese 
av ,ava ,ava ,Avaric
ay ,aym ,aym ,Aymara 
az ,aze ,aze ,Azerbaijani 
az ,azb ,azb ,South Azerbaijani 
ba ,bak ,bak ,Bashkir 
be ,bel ,bel ,Belarusian 
bg ,bul ,bul ,Bulgarian 
bh ,bih ,bih ,Bihari 
bi ,bis ,bis ,Bislama 
bm ,bam ,bam ,Bambara 
bn ,ben ,ben ,Bengali; Bangla 
bo ,bod ,tib ,"Tibetan Standard, Central "
br ,bre ,bre ,Breton 
bs ,bos ,bos ,Bosnian 
ca ,cat ,cat ,Catalan; Valencian
ce ,che ,che ,Chechen 
ch ,cha ,cha ,Chamorro 
co ,cos ,cos ,Corsican 
cr ,cre ,cre ,Cree 
cs ,ces ,cze ,Czech 
cu ,chu ,chu ,"Old Church Slavonic, Old Bulgarian "
cv ,chv ,chv ,Chuvash 
cy ,cym ,wel ,Welsh 
da ,dan ,dan ,Danish 
de ,deu ,ger ,German 
dv ,div ,div ,Divehi; Dhivehi; Maldivian; 
dz ,dzo ,dzo ,Dzongkha 
ee ,ewe ,ewe ,Ewe 
el ,ell ,gre ,Greek
en ,eng ,eng ,English 
eo ,epo ,epo ,Esperanto 
es ,spa ,spa ,Spanish; Castilian
et ,est ,est ,Estonian
eu ,eus ,baq ,Basque
fa ,fas ,per ,Persian (Farsi) 
ff ,ful ,ful ,Fula; Fulah; Pulaar;
fi ,fin ,fin ,Finnish 
fj ,fij ,fij ,Fijian 
fo ,fao ,fao ,Faroese 
fr ,fra ,fre ,French 
fy ,fry ,fry ,Western Frisian 
ga ,gle ,gle ,Irish 
gd ,gla ,gla ,Scottish Gaelic; Gaelic 
gl ,glg ,glg ,Galician 
gn ,grn ,grn ,Guaraní 
gu ,guj ,guj ,Gujarati 
gv ,glv ,glv ,Manx
ha ,hau ,hau ,Hausa 
he ,heb ,heb ,Hebrew (modern) 
hi ,hin ,hin ,Hindi
ho ,hmo ,hmo ,Hiri Motu 
hr ,hrv ,hrv ,Croatian 
ht ,hat ,hat ,Haitian; Haitian Creole 
hu ,hun ,hun ,Hungarian 
hy ,hye ,arm ,Armenian 
hz ,her ,her ,Herero 
ia ,ina ,ina ,Interlingua 
id ,ind ,ind ,Indonesian 
ie ,ile ,ile ,Interlingue 
ig ,ibo ,ibo ,Igbo 
ii ,iii ,iii ,Nuosu 
ik ,ipk ,ipk ,Inupiaq
io ,ido ,ido ,Ido 
is ,isl ,ice ,Icelandic 
it ,ita ,ita ,Italian 
iu ,iku ,iku ,Inuktitut 
ja ,jpn ,jpn ,Japanese 
jv ,jav ,jav ,Javanese 
ka ,kat ,geo ,Georgian 
kg ,kon ,kon ,Kongo 
ki ,kik ,kik ,Kikuyu
kj ,kua ,kua ,Kwanyama 
kk ,kaz ,kaz ,Kazakh 
kl ,kal ,kal ,Kalaallisut
km ,khm ,khm ,Khmer
kn ,kan ,kan ,Kannada 
ko ,kor ,kor ,Korean
kr ,kau ,kau ,Kanuri 
ks ,kas ,kas ,Kashmiri
ku ,kur ,kur ,Kurdish
kv ,kom ,kom ,Komi 
kw ,cor ,cor ,Cornish 
ky ,kir ,kir ,Kyrgyz
la ,lat ,lat ,Latin
lb ,ltz ,ltz ,Luxembourgish
lg ,lug ,lug ,Ganda 
li ,lim ,lim ,Limburgish
ln ,lin ,lin ,Lingala 
lo ,lao ,lao ,Lao 
lt ,lit ,lit ,Lithuanian 
